CODIGO;INCLUSAO
208641;2024-02-16
212605;2025-04-09
217041;2026-05-14
211463;2025-01-13
214440;2025-09-17
217247;2026-05-26
214207;2025-09-03
217469;2026-06-19
206281;2023-03-03
216680;2026-04-14
207270;2023-07-19
201046;2021-01-18
207760;2023-09-26
214976;2025-11-06
213212;2025-05-29
205257;2022-08-04
215890;2026-02-04
216539;2026-04-08
210751;2024-10-01
216405;2026-03-20
211535;2025-01-16
211509;2025-01-14
217201;2026-05-27
216866;2026-04-28
214777;2025-10-15
217255;2026-06-03
212463;2025-03-31
207732;2023-09-21
206513;2023-04-12
214254;2025-09-17
211575;2025-01-20
215798;2026-01-27
217659;2026-07-06
215013;2025-11-05
210837;2024-10-11
208616;2024-02-08
213478;2025-06-25
212876;2025-05-02
214979;2025-10-31
211379;2025-01-07
216941;2026-05-04
215503;2026-01-12
216431;2026-03-18
216463;2026-03-18
111042;2019-02-27
217661;2026-07-07
214100;2025-08-26
214387;2025-09-15
214085;2025-08-28
217235;2026-05-26
215765;2026-01-29
212935;2025-05-07
214982;2025-11-04
214167;2025-08-28
211450;2025-01-13
211522;2025-01-15
211821;2025-02-06
216439;2026-03-20
217402;2026-06-12
216522;2026-03-27
212240;2025-03-14
215051;2025-11-17
217374;2026-06-10
213666;2025-07-17
215245;2025-12-04
213929;2025-08-11
213970;2025-08-13
215106;2025-11-17
215942;2026-02-23
217101;2026-05-14
217657;2026-07-06
210427;2024-09-05
202494;2021-04-13
200844;2020-11-27
216760;2026-04-30
203812;2021-11-12
205532;2022-09-16
200414;2020-10-01
79033;2018-03-05
216372;2026-03-12
183352;2020-04-16
51878;2016-09-29
202443;2021-04-05
209959;2024-07-22
106941;2019-01-30
215312;2025-12-09
207713;2023-09-21
214295;2025-09-09
212435;2025-03-28
204645;2022-04-14
208934;2024-04-02
209538;2024-06-06
212680;2025-04-14
204597;2022-04-06
202573;2021-05-11
63304;2017-05-31
207308;2023-07-25
216308;2026-03-09
98554;2018-08-28
202244;2021-02-22
216031;2026-02-20
86224;2018-05-07
202674;2021-06-08
63305;2017-06-01
51781;2016-08-31
204041;2021-12-29
211441;2025-01-14
51500;2016-04-13
115410;2019-04-17
135923;2019-08-26
212050;2025-02-24
204568;2022-04-04
107976;2019-02-07
207615;2023-09-05
92384;2018-06-26
66469;2017-08-16
213424;2025-06-20
216778;2026-04-15
203513;2021-09-24
216083;2026-02-27
96507;2018-08-17
132876;2019-08-13
104810;2018-11-23
63310;2017-06-01
135917;2019-08-26
162754;2020-01-06
51480;2016-03-08
132839;2019-08-08
200669;2020-10-30
50898;2012-10-18
216127;2026-02-20
200444;2020-10-05
210044;2024-07-31
209263;2024-05-08
92382;2018-06-25
210112;2024-08-07
215782;2026-02-02
78978;2018-02-16
92357;2018-06-15
87230;2018-05-14
50049;2010-08-27
211202;2024-11-27
121555;2019-06-04
164887;2020-01-21
216234;2026-03-03
205740;2022-10-24
206601;2023-04-28
211161;2024-11-21
215984;2026-02-11
217404;2026-06-16
202615;2021-05-21
208504;2024-01-26
208707;2024-02-27
169013;2020-02-13
67570;2017-09-26
50057;2010-08-30
50404;2010-12-21
208393;2024-01-16
214140;2025-08-27
74814;2018-01-04
50950;2013-01-09
214742;2025-10-14
186494;2020-05-14
212750;2025-04-17
206542;2023-04-18
203953;2021-12-07
210180;2024-08-16
212458;2025-03-31
211595;2025-01-22
50463;2011-03-21
51501;2016-04-13
50278;2010-09-28
205318;2022-08-10
111056;2019-03-07
50155;2010-09-15
50421;2011-01-26
213842;2025-08-26
211400;2025-01-09
200573;2020-10-19
212797;2025-04-24
50409;2011-01-04
204527;2022-03-28
61131;2017-03-20
207743;2023-09-22
210157;2024-08-13
209383;2024-05-21
107969;2019-02-05
216880;2026-04-23
200699;2020-11-06
67602;2017-10-04
207041;2023-06-26
198000;2020-08-10
104779;2018-11-09
215596;2026-01-16
217387;2026-06-12
62238;2017-05-09
215025;2025-11-17
75865;2018-01-17
147151;2019-10-09
202537;2021-04-22
203487;2021-09-22
190570;2020-05-28
188520;2020-05-19
50046;2010-08-24
202776;2021-06-26
50017;2010-08-12
200123;2020-08-26
210507;2024-09-10
202778;2021-06-24
208662;2024-02-19
207869;2023-10-10
200244;2020-09-11
211415;2025-01-09
202906;2021-07-07
217312;2026-06-02
204514;2022-03-23
50731;2012-05-03
202405;2021-03-25
215950;2026-02-20
202265;2021-02-23
61081;2017-02-16
216568;2026-04-08
148208;2019-10-15
200405;2020-09-30
210188;2024-08-19
190591;2020-06-02
205022;2022-07-04
210350;2024-09-03
211418;2025-01-09
204296;2022-02-10
50719;2012-04-17
203238;2021-08-17
150329;2019-10-29
51719;2016-06-20
54002;2016-11-30
70670;2017-10-30
207249;2023-07-18
207692;2023-09-19
50108;2010-09-08
50055;2010-08-30
206593;2023-04-27
206522;2023-04-14
214490;2025-09-23
202824;2021-06-26
208829;2024-03-12
211355;2025-01-03
176189;2020-03-12
50156;2010-09-15
211252;2024-12-09
202404;2021-03-25
205124;2022-07-18
216983;2026-05-07
202203;2021-02-11
50843;2012-09-05
161722;2019-12-19
214657;2025-10-14
204185;2022-01-27
51101;2013-09-24
202335;2021-03-04
207868;2023-10-10
202370;2021-03-23
67624;2017-10-11
204541;2022-03-29
207889;2023-10-17
205621;2022-09-30
203489;2021-09-24
203842;2021-11-19
201029;2021-01-15
62175;2017-04-12
51869;2016-09-27
211937;2025-02-17
209940;2024-07-18
209402;2024-05-22
203293;2021-08-24
214897;2025-10-30
50412;2011-01-04
50663;2011-11-28
76931;2018-01-31
51863;2016-09-26
200273;2020-09-14
208851;2024-03-14
145105;2019-10-02
50406;2010-12-28
50001;2010-04-28
50407;2011-01-03
202261;2021-02-22
93394;2018-07-02
57032;2017-01-06
210264;2024-08-28
101664;2018-10-08
106926;2019-01-23
211468;2025-01-13
114297;2019-04-05
51219;2014-07-31
51752;2016-07-28
211062;2024-11-13
204959;2022-06-22
51694;2016-06-03
202237;2021-02-22
212451;2025-03-31
212239;2025-03-19
204912;2022-06-10
204969;2022-06-24
212280;2025-03-18
216413;2026-03-17
214849;2025-10-23
204907;2022-06-08
50157;2010-09-15
210827;2024-10-10
179255;2020-03-30
216442;2026-03-16
62157;2017-03-28
206968;2023-06-16
50285;2010-09-28
123648;2019-07-03
206196;2023-02-10
109026;2019-02-20
131818;2019-08-06
67575;2017-09-27
50414;2011-01-14
204760;2022-05-12
200115;2020-08-25
50217;2010-09-20
215628;2026-01-21
208500;2024-01-26
217577;2026-07-01
216943;2026-05-11
215519;2026-01-12
132875;2019-08-13
66367;2017-06-30
81054;2018-03-14
216806;2026-04-16
206100;2023-01-24
183344;2020-04-15
50158;2010-09-15
214098;2025-08-28
58066;2017-02-03
61091;2017-02-17
206438;2023-03-30
212154;2025-03-10
213124;2025-05-22
211263;2024-12-09
208224;2023-12-15
203832;2021-11-18
67630;2017-10-16
63269;2017-05-22
81066;2018-03-19
51782;2016-08-31
202936;2021-07-09
208845;2024-03-13
203059;2021-07-26
70686;2017-11-03
103748;2018-10-26
205696;2022-10-17
76922;2018-01-30
202827;2021-06-26
206757;2023-05-19
217195;2026-05-28
79002;2018-02-22
213039;2025-05-14
215586;2026-01-19
203992;2021-12-16
215501;2026-01-15
207671;2023-09-14
207290;2023-07-24
216889;2026-04-24
209954;2024-07-22
51502;2016-04-13
211060;2024-11-11
209535;2024-06-05
192650;2020-06-11
212407;2025-03-27
206340;2023-03-15
211095;2024-11-14
203070;2021-07-26
204886;2022-06-08
207673;2023-09-14
202278;2021-03-02
193681;2020-06-16
206439;2023-03-30
210543;2024-09-16
207134;2023-07-04
51214;2014-07-22
203629;2021-10-18
54004;2016-12-02
216319;2026-03-06
122621;2019-06-28
62217;2017-05-02
75875;2018-01-18
67608;2017-10-05
214655;2025-10-09
212595;2025-04-09
50159;2010-09-15
203307;2021-08-24
212124;2025-03-07
101699;2018-10-11
51177;2014-03-31
212937;2025-05-07
110029;2019-02-22
51503;2016-04-13
208362;2024-01-15
62189;2017-04-24
50160;2010-09-15
206572;2023-04-25
215421;2025-12-22
200449;2020-10-05
53999;2016-11-29
206098;2023-01-23
207064;2023-06-27
217485;2026-07-03
206892;2023-06-07
112105;2019-03-20
132854;2019-08-09
202818;2021-06-26
204002;2021-12-15
166917;2020-01-29
209768;2024-07-02
122614;2019-06-26
173130;2020-03-02
100659;2018-10-04
208832;2024-03-13
66400;2017-07-17
204560;2022-04-04
51493;2016-04-04
67634;2017-10-16
200692;2020-11-04
51054;2013-06-03
159615;2019-11-29
212474;2025-04-02
214573;2025-10-02
210711;2024-09-30
216200;2026-03-05
59088;2017-02-13
208093;2023-11-22
190603;2020-06-04
173149;2020-03-03
204877;2022-06-08
130799;2019-08-05
208129;2023-11-28
117488;2019-05-13
183388;2020-04-22
207861;2023-10-09
217307;2026-06-05
62244;2017-05-10
216847;2026-04-22
215020;2025-11-06
50891;2012-10-16
206567;2023-04-24
203577;2021-10-05
200211;2020-09-03
217106;2026-05-13
209338;2024-05-17
211719;2025-01-31
114220;2019-03-25
204968;2022-06-23
215482;2026-01-08
213550;2025-07-10
208309;2024-01-08
114198;2019-03-25
200159;2020-08-27
202856;2021-07-01
72759;2017-12-07
93404;2018-07-05
206082;2023-01-18
205103;2022-07-13
215088;2025-11-14
206959;2023-06-19
212893;2025-05-05
202731;2021-06-22
210422;2024-09-05
216572;2026-03-27
72757;2017-12-07
202286;2021-02-26
215786;2026-02-03
50643;2011-10-05
76953;2018-02-06
57056;2017-01-23
88298;2018-05-16
215581;2026-01-15
209026;2024-04-15
209705;2024-06-26
214288;2025-09-05
82077;2018-03-21
215817;2026-01-27
206088;2023-01-19
211422;2025-01-09
125736;2019-07-25
206457;2023-04-06
215018;2025-11-10
196867;2020-07-16
67533;2017-09-13
211237;2024-12-02
212121;2025-03-06
61125;2017-03-20
202218;2021-02-17
111082;2019-03-12
209741;2024-06-28
211556;2025-01-17
196860;2020-07-14
209030;2024-04-17
212850;2025-04-29
208209;2023-12-13
51504;2016-04-14
171038;2020-02-28
202694;2021-06-15
209565;2024-06-10
148237;2019-10-18
216672;2026-04-09
215996;2026-02-12
211341;2024-12-26
215169;2025-12-03
200922;2020-12-11
202236;2021-02-22
206809;2023-05-26
101671;2018-10-08
212125;2025-03-07
100615;2018-09-18
216777;2026-04-15
206972;2023-06-20
200992;2021-01-13
215591;2026-01-19
208582;2024-02-06
78986;2018-02-19
203212;2021-08-12
90322;2018-06-04
215468;2026-01-09
50880;2012-09-28
205771;2022-10-31
203069;2021-07-26
82128;2018-04-20
204917;2022-06-10
61093;2017-02-22
50838;2012-08-29
204385;2022-02-25
214447;2025-09-18
51386;2015-08-13
214383;2025-09-12
158558;2019-11-26
204132;2022-01-17
207875;2023-10-11
202907;2021-07-06
51163;2014-02-28
62169;2017-04-07
209472;2024-05-29
78980;2018-02-16
50517;2011-05-25
206619;2023-05-03
213717;2025-07-25
121553;2019-06-04
209939;2024-07-18
87234;2018-05-09
204251;2022-02-03
217675;2026-07-07
209470;2024-05-29
94457;2018-07-24
208973;2024-04-08
203905;2021-11-25
204231;2022-01-31
210598;2024-09-19
51505;2016-04-14
51063;2013-06-19
213735;2025-07-25
153457;2019-11-11
208801;2024-03-07
207791;2023-09-29
51506;2016-04-14
211666;2025-01-28
148212;2019-10-16
203604;2021-10-08
215779;2026-04-08
51889;2016-10-11
185462;2020-05-11
164881;2020-01-21
50641;2011-09-26
216555;2026-04-06
216376;2026-03-12
211180;2024-11-25
202762;2021-06-26
200063;2020-09-28
162782;2020-01-09
67601;2017-10-04
216713;2026-04-10
50027;2010-08-16
213257;2025-06-04
207991;2023-11-03
98550;2018-08-24
206141;2023-02-02
203819;2021-11-16
